time,pub_location,title,tname,like,owner,bvid,picurl,oid
2023-12-22 18:50,中国台湾,【圣诞星 | 官方MV 】周杰伦 如果 宇宙中有我这么一颗『星』我会希望是 你 发现 我,MV,210201,杰威尔音乐,BV1Dg4y1C7wq,http://i0.hdslb.com/bfs/archive/8580fb8df48755309870646a4deb0a7ef8820988.jpg,835090903
2023-12-22 18:50,陕西,她总被人误会成“骗子”，但却是孩子们心里最好的常妈妈…一个女人和2000个家庭的故事…,日常,374475,张易的朋友圈,BV1Tc41117Fp,http://i1.hdslb.com/bfs/archive/478d5a61e57d888f2264012242462756eac5902b.jpg,282553817
2023-12-22 18:50,山东,一 名 医 生 决 定 帮 病 人 有 尊 严 地 死 ！,日常,184443,导演小策,BV1Ru4y1J7Ee,http://i2.hdslb.com/bfs/archive/8e690debbd3e0abfd87920653db6c8371554ac07.jpg,919931466
2023-12-22 18:50,上海,《崩坏：星穹铁道》千星纪游PV：「阮声落华裳，梅出似点妆」,手机游戏,209617,崩坏星穹铁道,BV1pb4y1V7Qw,http://i2.hdslb.com/bfs/archive/1a1e84ec2d230205f9d8898a61dcc55b81c1fad4.jpg,622525773
2023-12-22 18:50,重庆,猛男看了都扛不住落泪的电影,影视剪辑,178232,chuweii,BV1XN4y1x7ue,http://i2.hdslb.com/bfs/archive/d6c75e8179b14116ab6681fb516f0f7cac5dd8bc.jpg,880025140
2023-12-22 18:50,北京,争议最大的上古帝王 | 建国还是窃国？,人文历史,121729,木鱼水心,BV1Uu4y1K7xi,http://i1.hdslb.com/bfs/archive/b68725065a96d1e092b1e46c04b0042b9b3013ea.jpg,922618258
2023-12-22 18:50,上海,韩国最臭食物给我们哥仨吃懵了…,出行,138961,中国BOY超级大猩猩,BV12p4y1o7h6,http://i2.hdslb.com/bfs/archive/623d81c7a0eeb61eada93c5d6b4873809e4ad52a.jpg,964991812
2023-12-22 18:50,北京,【北京欢迎你】这是一首来自五湖四海的新年祝福,翻唱,280571,秋陌_Cheyenne,BV1uc411o7tw,http://i2.hdslb.com/bfs/archive/0c443abb129b51638294927074e2a98e3fec92ad.jpg,279989719
2023-12-22 18:50,江苏,探秘全球第一高铁！中国高铁商务座！都吃些什么？,美食侦探,106536,HOLA小测佬,BV1Ai4y1Y7r2,http://i1.hdslb.com/bfs/archive/e2a6a79654502bf16eb1f764f0b77ed9aa54bb06.jpg,537612002
2023-12-22 18:50,上海,小潮team用什么设备？,数码,138073,小砍丶,BV1Ze411b7g8,http://i2.hdslb.com/bfs/archive/be45844279156057d22b2501a64a7b1bdee66f48.jpg,240118378
2023-12-22 18:50,湖北,你染上恋爱了？！,搞笑,224865,液态冰的发言框,BV1QN411V71A,http://i1.hdslb.com/bfs/archive/2d2a68eedeae9ebd394f612e8631aae18496d77c.jpg,494896512
2023-12-22 18:50,上海,小潮team(不全)尴尬故事会,搞笑,101383,犀利有话说,BV1BN411G7pW,http://i1.hdslb.com/bfs/archive/9028cbf55f2c96fdc3dcb6a7d9ee731cfb61720c.jpg,494687148
2023-12-22 18:50,辽宁,鱼：家鱼们，没事别往东北这边报名了,搞笑,201394,周周啊,BV1Fw41147eq,http://i1.hdslb.com/bfs/archive/7fdb2d4e367c0f725959476a6b8a69d7061b322c.jpg,324906517
2023-12-22 18:50,美国,我买了世界上最特别的子弹！竟然是塑料材质！据说性能超强？！,出行,85629,老李船长,BV16N411V7xi,http://i1.hdslb.com/bfs/archive/1e9d14ef0cca64da4e8c9740e0fe496e27729131.jpg,494893178
2023-12-22 18:50,山西,视频来晚了哥,搞笑,414724,延边刺客呀,BV1Vw41147uB,http://i1.hdslb.com/bfs/archive/db5b76d11039ee1c345de6e4754f1006729b355c.jpg,324977896
2023-12-22 18:50,山东,小孩哥：你觉得你能杀死我？,竞技体育,288513,笨小海涛,BV1tN4y1b763,http://i0.hdslb.com/bfs/archive/719393010e17b28bf6384b769a3bf00c7d9bf149.jpg,877412454
2023-12-22 18:50,湖北,相亲前：我要不将就一下，相亲后：我真将就不了呀,搞笑,206347,七颗猩猩QKXX,BV13b4y137Ro,http://i2.hdslb.com/bfs/archive/8f72b913ff3bf4159e3853e49c44267c8f0f867d.jpg,622616902
2023-12-22 18:50,北京,一口气了解全球游戏产业 | 为什么最近各大科技巨头纷纷入局？,财经商业,73209,小Lin说,BV1Qb4y1G7vY,http://i2.hdslb.com/bfs/archive/851170e6c406a2a80042c618159d5170687e6a2b.jpg,622423815
2023-12-22 18:50,广东,“变身，比你想象的还要帅”,特摄,89310,ChenGeJi,BV1ga4y1k7he,http://i0.hdslb.com/bfs/archive/12c49ced764cdeae6b45a63a98cd3d266168d638.jpg,665010134
2023-12-22 18:50,湖南,【绝区O】警告⚠️错误角色代码,短片·手书,154182,比彼,BV1sj411H7qy,http://i2.hdslb.com/bfs/archive/3a1d024ac8756116aca14960c0a7b3d8c930e3c4.jpg,452591136
