m,n,p,single,multi
500,1,500,0.000898,0.003713
500,1,500,0.001016,0.001762
500,1,500,0.001097,0.001900
500,1,500,0.000965,0.006590
500,1,500,0.001977,0.003304
500,21,500,0.025755,0.046375
500,21,500,0.054398,0.018537
500,21,500,0.028115,0.012651
500,21,500,0.016483,0.012981
500,21,500,0.026472,0.011831
500,41,500,0.031198,0.010011
500,41,500,0.035484,0.026001
500,41,500,0.045251,0.012678
500,41,500,0.034542,0.006491
500,41,500,0.036418,0.023110
500,61,500,0.065582,0.020344
500,61,500,0.052439,0.015330
500,61,500,0.045914,0.020763
500,61,500,0.072670,0.015638
500,61,500,0.054933,0.024488
500,81,500,0.065544,0.015894
500,81,500,0.062795,0.038022
500,81,500,0.068745,0.022074
500,81,500,0.063234,0.033251
500,81,500,0.060887,0.019546
500,101,500,0.101626,0.043182
500,101,500,0.088848,0.020189
500,101,500,0.074481,0.008008
500,101,500,0.078083,0.026418
500,101,500,0.075536,0.018514
500,121,500,0.108268,0.028407
500,121,500,0.088188,0.010424
500,121,500,0.097351,0.027328
500,121,500,0.088411,0.026629
500,121,500,0.088438,0.030728
500,141,500,0.106200,0.030309
500,141,500,0.104683,0.030420
500,141,500,0.101903,0.020463
500,141,500,0.115931,0.039775
500,141,500,0.113724,0.032183
500,161,500,0.117129,0.028291
500,161,500,0.126527,0.056405
500,161,500,0.117154,0.027248
500,161,500,0.154243,0.027926
500,161,500,0.121392,0.055349
500,181,500,0.130919,0.030240
500,181,500,0.138678,0.031036
500,181,500,0.139588,0.031634
500,181,500,0.131290,0.037337
500,181,500,0.138472,0.033469
500,201,500,0.142730,0.033131
500,201,500,0.143692,0.031951
500,201,500,0.146117,0.030808
500,201,500,0.163989,0.041176
500,201,500,0.176099,0.039454
500,221,500,0.171610,0.040498
500,221,500,0.165731,0.038259
500,221,500,0.187409,0.040400
500,221,500,0.172524,0.035945
500,221,500,0.169988,0.043442
500,241,500,0.188983,0.034886
500,241,500,0.185052,0.042011
500,241,500,0.203652,0.035512
500,241,500,0.179411,0.053026
500,241,500,0.202974,0.062316
500,261,500,0.200260,0.039175
500,261,500,0.213682,0.040718
500,261,500,0.263887,0.039985
500,261,500,0.195490,0.033678
500,261,500,0.230116,0.039144
500,281,500,0.221434,0.040237
500,281,500,0.217554,0.046206
500,281,500,0.248272,0.037337
500,281,500,0.218471,0.044195
500,281,500,0.229150,0.038896
500,301,500,0.252146,0.048995
500,301,500,0.270551,0.042686
500,301,500,0.242446,0.046058
500,301,500,0.238398,0.043794
500,301,500,0.231476,0.045642
500,321,500,0.272370,0.044818
500,321,500,0.253544,0.045155
500,321,500,0.253028,0.042904
500,321,500,0.279047,0.046338
500,321,500,0.236672,0.046530
500,341,500,0.261263,0.048403
500,341,500,0.266675,0.034166
500,341,500,0.264942,0.047528
500,341,500,0.265287,0.046442
500,341,500,0.258889,0.042790
500,361,500,0.287285,0.049226
500,361,500,0.288332,0.048099
500,361,500,0.300103,0.043725
500,361,500,0.289181,0.045752
500,361,500,0.299449,0.042683
500,381,500,0.289823,0.047461
500,381,500,0.283740,0.050731
500,381,500,0.307752,0.047343
500,381,500,0.280636,0.050586
500,381,500,0.304770,0.062372
500,401,500,0.325097,0.057176
500,401,500,0.329306,0.052320
500,401,500,0.378567,0.053698
500,401,500,0.339485,0.052514
500,401,500,0.334139,0.054661
500,421,500,0.328147,0.057538
500,421,500,0.371932,0.054630
500,421,500,0.333582,0.055304
500,421,500,0.354544,0.049303
500,421,500,0.347831,0.057655
500,441,500,0.338649,0.055891
500,441,500,0.342910,0.057297
500,441,500,0.336354,0.055043
500,441,500,0.357108,0.062049
500,441,500,0.364434,0.060612
500,461,500,0.400003,0.053544
500,461,500,0.362029,0.067934
500,461,500,0.352876,0.068119
500,461,500,0.385310,0.064536
500,461,500,0.372157,0.056287
500,481,500,0.403931,0.070744
500,481,500,0.362356,0.061011
500,481,500,0.369320,0.060739
500,481,500,0.429911,0.060794
500,481,500,0.402050,0.054367
500,501,500,0.426015,0.064735
500,501,500,0.432565,0.071294
500,501,500,0.403870,0.064861
500,501,500,0.388830,0.055729
500,501,500,0.390598,0.059679
500,521,500,0.419546,0.056772
500,521,500,0.415827,0.063518
500,521,500,0.428903,0.065727
500,521,500,0.412450,0.062063
500,521,500,0.428214,0.058012
500,541,500,0.426658,0.066334
500,541,500,0.440489,0.069584
500,541,500,0.448013,0.064983
500,541,500,0.444228,0.064167
500,541,500,0.443285,0.072472
500,561,500,0.450420,0.059520
500,561,500,0.434904,0.070520
500,561,500,0.452093,0.070511
500,561,500,0.463396,0.068979
500,561,500,0.456633,0.069286
500,581,500,0.477532,0.068635
500,581,500,0.464385,0.076516
500,581,500,0.467917,0.063873
500,581,500,0.477120,0.066828
500,581,500,0.484883,0.074711
500,601,500,0.500887,0.083691
500,601,500,0.481699,0.067784
500,601,500,0.500953,0.064582
500,601,500,0.466608,0.067758
500,601,500,0.472493,0.073089
500,621,500,0.509279,0.069956
500,621,500,0.492169,0.078568
500,621,500,0.555454,0.070541
500,621,500,0.506754,0.071304
500,621,500,0.522197,0.077426
500,641,500,0.545545,0.082116
500,641,500,0.522423,0.077201
500,641,500,0.548760,0.079082
500,641,500,0.512580,0.078533
500,641,500,0.509383,0.074763
500,661,500,0.569918,0.082260
500,661,500,0.558715,0.073788
500,661,500,0.520722,0.078082
500,661,500,0.559432,0.076371
500,661,500,0.580035,0.095426
500,681,500,0.565039,0.078953
500,681,500,0.547704,0.083558
500,681,500,0.526380,0.072547
500,681,500,0.552296,0.079751
500,681,500,0.616756,0.081967
500,701,500,0.588922,0.085130
500,701,500,0.577812,0.080527
500,701,500,0.605046,0.079296
500,701,500,0.569752,0.092374
500,701,500,0.575314,0.074552
500,721,500,0.626636,0.090066
500,721,500,0.604508,0.081443
500,721,500,0.606986,0.088045
500,721,500,0.651099,0.097692
500,721,500,0.611279,0.128100
500,741,500,0.599606,0.083256
500,741,500,0.614650,0.082761
500,741,500,0.580199,0.087128
500,741,500,0.607454,0.082385
500,741,500,0.600760,0.095858
500,761,500,0.626508,0.096845
500,761,500,0.605411,0.081905
500,761,500,0.613843,0.088932
500,761,500,0.632181,0.097666
500,761,500,0.635301,0.093729
500,781,500,0.653333,0.082752
500,781,500,0.656663,0.096454
500,781,500,0.659798,0.088941
500,781,500,0.640042,0.083521
500,781,500,0.698081,0.081795
500,801,500,0.654101,0.092184
500,801,500,0.686200,0.087161
500,801,500,0.682699,0.095634
500,801,500,0.745602,0.095240
500,801,500,0.713366,0.080492
